row ID,MaritalStatus,Gender,EstimatedYearlyIncome,NumberOfContracts,Age,Target,Available401K,CustomerValueSegment,ChurnScore,CallActivity,SentimentRating,Products,WebActivity,Iteration
R25_Row25_Row25_Row25#0,M,M,10000,2,64,1,1,1,0.1,2,2,CO Investment,1,0
R30_Row30_Row30_Row30#0,M,F,10000,2,63,1,1,1,0.1,2,2,CO Investment,1,0
R35_Row35_Row35_Row35#0,M,F,10000,2,62,1,1,1,0.1,2,2,CO Investment,1,0
R37_Row37_Row37_Row37#0,S,F,40000,2,32,1,0,2,0.5,2,0,CO Investment,0,0
R38_Row38_Row38_Row38#0,M,F,10000,2,62,1,1,1,0.5,2,2,CO Investment,1,0
R44_Row44_Row44_Row44#0,M,M,20000,2,61,1,1,1,0.1,2,2,CO Investment,1,0
R49_Row49_Row49_Row49#0,S,F,40000,2,30,0,1,2,0.5,2,0,CO Investment,0,0
R84_Row84_Row84_Row84#0,S,M,80000,2,53,1,0,2,0.1,3,2,CO Investment,0,0
R133_Row133_Row133_Row133#0,S,F,30000,2,30,0,0,2,0,2,0,CO Investment,0,0
R135_Row135_Row135_Row135#0,S,M,30000,2,30,1,0,2,0.5,2,0,CO Investment,0,0
R215_Row215_Row215_Row215#0,M,F,40000,2,60,0,1,2,1,3,2,CO Investment,1,0
R295_Row295_Row295_Row295#0,S,F,80000,2,56,1,1,2,0.5,3,2,CO Investment,0,0
R307_Row307_Row307_Row307#0,M,M,80000,2,55,1,1,2,0.5,3,2,CO Investment,0,0
R416_Row416_Row416_Row416#0,M,F,60000,4,65,1,1,3,0.2,3,3,CO Investment,1,0
R440_Row440_Row440_Row440#0,M,M,80000,2,63,0,0,3,0.5,3,5,CO Investment,0,0
R441_Row441_Row441_Row441#0,M,F,90000,2,63,0,0,3,0.5,3,5,CO Investment,0,0
R442_Row442_Row442_Row442#0,M,M,90000,2,62,0,1,3,1,3,5,CO Investment,0,0
R456_Row456_Row456_Row456#0,M,M,120000,4,36,1,1,1,1,4,5,CO Investment,5,0
R466_Row466_Row466_Row466#0,M,M,150000,4,39,0,1,1,1,5,0,CO Investment,5,0
R469_Row469_Row469_Row469#0,S,M,10000,2,37,0,0,3,0.1,1,0,CO Investment,0,0
R470_Row470_Row470_Row470#0,S,M,20000,2,37,1,0,3,0,1,0,CO Investment,0,0
R473_Row473_Row473_Row473#0,S,F,20000,2,30,0,0,3,0.1,1,0,CO Investment,0,0
R474_Row474_Row474_Row474#0,S,M,20000,2,30,0,1,3,0.1,1,0,CO Investment,0,0
R486_Row486_Row486_Row486#0,S,F,10000,2,39,0,1,3,0.1,1,0,CO Investment,0,0
R487_Row487_Row487_Row487#0,S,F,10000,2,39,0,0,3,0.1,1,0,CO Investment,0,0
R488_Row488_Row488_Row488#0,S,M,20000,2,39,1,1,3,0.1,1,0,CO Investment,0,0
R489_Row489_Row489_Row489#0,S,F,20000,2,39,1,0,3,0.1,1,0,CO Investment,0,0
R490_Row490_Row490_Row490#0,S,M,20000,2,39,0,0,3,0,1,0,CO Investment,0,0
R491_Row491_Row491_Row491#0,M,M,20000,2,39,1,0,3,0,1,0,CO Investment,0,0
R512_Row512_Row512_Row512#0,S,F,20000,2,56,1,1,2,0.1,1,3,CO Investment,0,0
R513_Row513_Row513_Row513#0,S,F,20000,2,56,1,0,2,0.1,1,3,CO Investment,0,0
R561_Row561_Row561_Row561#0,S,F,10000,2,44,1,1,3,0,1,5,CO Investment,5,0
R578_Row578_Row578_Row578#0,S,F,10000,2,45,1,1,3,0,1,3,CO Investment,2,0
R606_Row606_Row606_Row606#0,S,F,10000,2,35,1,0,3,0,1,0,CO Investment,0,0
R611_Row611_Row611_Row611#0,M,M,20000,1,36,1,0,3,0.2,1,0,CO Investment,0,0
R612_Row612_Row612_Row612#0,S,M,20000,2,36,1,0,3,0,1,0,CO Investment,0,0
R933_Row933_Row933_Row933#0,S,M,40000,2,33,1,0,2,0.1,2,0,CO Investment,0,0
R934_Row934_Row934_Row934#0,S,M,40000,2,32,1,1,2,0.5,2,0,CO Investment,0,0
R942_Row942_Row942_Row942#0,M,M,20000,2,61,1,1,1,0.5,2,2,CO Investment,1,0
R943_Row943_Row943_Row943#0,M,F,20000,2,61,1,1,1,0.5,2,2,CO Investment,1,0
R979_Row979_Row979_Row979#0,M,M,80000,2,53,1,0,2,0.1,3,2,CO Investment,0,0
R1023_Row1023_Row1023_Row1023#0,S,M,30000,2,32,1,0,2,0.5,2,0,CO Investment,0,0
R1028_Row1028_Row1028_Row1028#0,S,F,30000,2,32,0,0,2,0.5,2,0,CO Investment,0,0
R1029_Row1029_Row1029_Row1029#0,M,M,30000,2,32,0,0,2,0,2,0,CO Investment,0,0
R1031_Row1031_Row1031_Row1031#0,S,M,30000,2,30,1,0,2,0.5,2,0,CO Investment,0,0
R1032_Row1032_Row1032_Row1032#0,S,M,30000,2,31,1,0,2,0.5,2,0,CO Investment,0,0
R1106_Row1106_Row1106_Row1106#0,M,M,40000,2,60,0,1,2,0.2,3,2,CO Investment,1,0
R1107_Row1107_Row1107_Row1107#0,M,M,40000,2,60,0,1,2,0.2,3,2,CO Investment,1,0
R1178_Row1178_Row1178_Row1178#0,M,M,80000,2,56,1,1,2,0.5,3,2,CO Investment,0,0
R1191_Row1191_Row1191_Row1191#0,M,F,60000,2,56,0,1,2,0.5,3,2,CO Investment,0,0
R1192_Row1192_Row1192_Row1192#0,S,F,60000,2,55,0,0,2,0.1,3,2,CO Investment,0,0
R1295_Row1295_Row1295_Row1295#0,S,M,60000,4,65,0,1,3,1,3,3,CO Investment,1,0
R1321_Row1321_Row1321_Row1321#0,M,F,70000,2,59,1,1,3,0.2,3,5,CO Investment,2,0
R1331_Row1331_Row1331_Row1331#0,S,F,70000,4,62,0,1,3,1,3,5,CO Investment,1,0
R1355_Row1355_Row1355_Row1355#0,S,F,120000,4,37,1,1,1,1,4,0,CO Investment,5,0
R1358_Row1358_Row1358_Row1358#0,M,F,100000,4,40,1,1,1,1,4,0,CO Investment,5,0
