區域別,戶數,人口數
新北市,689,1648
新北市,637,1564
新北市,317,835
新北市,442,1185
新北市,735,1792
新北市,2328,5746
新北市,1498,3340
新北市,4769,9213
新北市,1585,4549
新北市,1628,4596
新北市,2057,5409
新北市,1099,2973
新北市,1098,2823
新北市,1576,3931
新北市,1095,3039
新北市,1470,4169
新北市,1941,5139
新北市,1069,2763
新北市,1430,3775
新北市,1685,4504
新北市,1492,4167
新北市,1730,4729
新北市,1506,4214
新北市,1667,4258
新北市,934,2502
新北市,1206,3254
新北市,882,2224
新北市,3130,7703
新北市,1785,4933
新北市,2077,5680
新北市,2407,6301
新北市,1650,3792
新北市,2167,4987
新北市,1106,3051
新北市,3046,8175
新北市,1374,3953
新北市,2690,7620
新北市,1146,3169
新北市,1963,5137
新北市,1400,3581
新北市,1746,4257
新北市,1989,5258
新北市,1393,3898
新北市,4325,10959
新北市,981,2660
新北市,1588,4206
新北市,1206,3194
新北市,2241,6295
新北市,560,1436
新北市,2422,6426
新北市,1671,4636
新北市,1641,4423
新北市,1318,3450
新北市,2554,6523
新北市,1012,2959
新北市,1267,3472
新北市,2857,8601
新北市,1073,3041
新北市,2152,5654
新北市,1035,3099
新北市,1676,4573
新北市,1407,3701
新北市,1534,4323
新北市,1287,3869
新北市,3697,9315
新北市,1484,4141
新北市,1055,2911
新北市,1708,5064
新北市,1740,5055
新北市,2178,4969
新北市,1583,4197
新北市,1786,5135
新北市,1467,3881
新北市,1976,5461
新北市,1466,3597
新北市,1333,3693
新北市,1569,3892
新北市,2579,7136
新北市,1784,4967
新北市,3328,9359
新北市,1163,3322
新北市,1634,4086
新北市,1563,4357
新北市,1591,4333
新北市,1015,2844
新北市,2941,7467
新北市,2907,7053
新北市,1680,4407
新北市,1430,4323
新北市,1931,5656
新北市,1404,4249
新北市,1628,4224
新北市,336,1135
新北市,1554,4400
新北市,1026,2740
新北市,2021,5726
新北市,1090,3009
新北市,3676,10455
新北市,2180,6366
新北市,1339,3800
新北市,983,2710
新北市,1555,4522
新北市,1182,3270
新北市,1344,3480
新北市,1252,3812
新北市,1177,3143
新北市,856,2315
新北市,1088,3216
新北市,929,2454
新北市,1610,4037
新北市,776,2251
新北市,1518,4622
新北市,2401,6769
新北市,1006,2715
新北市,857,2231
新北市,1048,2966
新北市,1253,3543
新北市,931,2452
新北市,1443,4051
新北市,1207,3451
