outofnumber,i,y,x,division
109,1,0.38,4.9476,13.02
2160,2,2.13,25.6665,12.05
4211,6,0.41,5.1578,12.58
6262,10,0.42,5.2584,12.52
8313,15,0.45,5.7645,12.81
10364,21,0.89,10.8224,12.16
12415,23,0.18,2.4588,13.66
1446,28,1.54,18.2644,11.86
16517,29,1.66,19.9532,12.02
18568,36,0.25,2.9625,11.85
20619,40,0.66,8.5074,12.89
22670,46,0.88,11.3344,12.88
24721,52,0.42,5.0316,11.98
26772,57,0.52,6.5572,12.61
28823,63,0.23,2.8152,12.24
30874,66,0.84,10.9284,13.01
32925,76,0.21,2.6586,12.66
34976,82,0.13,1.6458,12.66
